divid,exp.max.premath.std,max.premath.std,scaled.premath,exp.max.postmath.std,max.postmath.std,scaled.postmath,rank,male,numstud,bot20,bal,mumbai,year,city,classyearid
415,0.5086152688934107,0,17,0.8028367548789205,2,21,56.5,1,94,0,1,1,1,Mumbai,415
415,0.8150595147623292,1,20,0.04007208785849348,0,9,53.5,1,94,0,1,1,1,Mumbai,415
415,0.29784463043330484,0,14.5,0.6646089610311775,1,20,58,1,94,0,1,1,1,Mumbai,415
415,0.05123344940392207,0,9,0.10086891016810756,0,11,12,1,94,1,1,1,1,Mumbai,415
415,0.5086152688934107,1,17,0.4193332461017826,0,17,32,1,94,0,1,1,1,Mumbai,415
415,0.20489353053293644,0,13,0.29649848760733805,0,15,38.5,1,94,0,1,1,1,Mumbai,415
415,0.5086152688934107,0,17,0.8028367548789205,2,21,59,1,94,0,1,1,1,Mumbai,415
415,0.5086152688934107,1,17,0.5597919577059098,2,19,65,1,94,0,1,1,1,Mumbai,415
415,0.07685145957630846,0,10,0.6646089610311775,0,20,41,1,94,0,1,1,1,Mumbai,415
415,0.7022094137270131,1,19,0.6646089610311775,1,20,78,1,94,0,1,1,1,Mumbai,415
415,0.7022094137270131,1,19,0.5597919577059098,0,19,79,1,94,0,1,1,1,Mumbai,415
415,0.5086152688934107,1,17,0.06535227767432476,0,10,36,1,94,0,1,1,1,Mumbai,415
415,1.0772053909865469,2,22,0.8028367548789205,0,21,80.5,1,94,0,1,1,1,Mumbai,415
415,0.3351562345493845,0,15,0.29649848760733805,0,15,44,1,94,0,1,1,1,Mumbai,415
415,0.5548662956933103,1,17.5,0.4193332461017826,1,17,55,1,94,0,1,1,1,Mumbai,415
415,0.7022094137270131,1,19,0.06535227767432476,0,10,68,1,94,0,1,1,1,Mumbai,415
415,0.20489353053293644,0,13,0.1891201858982725,0,13,50.5,1,94,0,1,1,1,Mumbai,415
415,-0.00980764169644881,0,3,-0.010379981369818462,0,5,6,1,94,1,1,1,1,Mumbai,415
415,0.26393225504038725,0,14,0.4193332461017826,1,17,27.5,0,94,0,1,1,1,Mumbai,415
415,0.030824812581009192,0,8,0.24114281878816873,0,14,7.5,0,94,1,1,1,1,Mumbai,415
415,-9.080702872152121e-4,0,6,0.6646089610311775,0,20,10.5,0,94,1,1,1,1,Mumbai,415
415,0.20489353053293644,0,13,0.4193332461017826,1,17,47.5,0,94,0,1,1,1,Mumbai,415
415,0.9405346126914554,1,21,1.582850216423377,3,25,84.5,0,94,0,1,1,1,Mumbai,415
415,1.2289989973150477,2,23,0.9675100902233738,1,22,76,0,94,0,1,1,1,Mumbai,415
415,0.20489353053293644,0,13,0.9675100902233738,2,22,72.5,0,94,0,1,1,1,Mumbai,415
415,0.05123344940392207,0,9,0.24114281878816873,0,14,23,0,94,0,1,1,1,Mumbai,415
415,0.05123344940392207,0,9,0.06535227767432476,0,10,21.5,0,94,0,1,1,1,Mumbai,415
415,0.07685145957630846,0,10,0.4193332461017826,0,17,32,0,94,0,1,1,1,Mumbai,415
415,0.05123344940392207,0,9,0.4193332461017826,0,17,29,0,94,0,1,1,1,Mumbai,415
415,0.26393225504038725,1,14,0.35727178942193777,0,16,56.5,0,94,0,1,1,1,Mumbai,415
415,0.030824812581009192,0,8,0.06535227767432476,1,10,14,0,94,1,1,1,1,Mumbai,415
415,0.20489353053293644,1,13,0.4193332461017826,0,17,47.5,0,94,0,1,1,1,Mumbai,415
415,-0.00980764169644881,0,3,0.1891201858982725,0,13,13,0,94,1,1,1,1,Mumbai,415
415,0.26393225504038725,0,14,1.3603345316200715,0,24,50.5,0,94,0,1,1,1,Mumbai,415
415,0.9405346126914554,1,21,1.3603345316200715,0,24,74,0,94,0,1,1,1,Mumbai,415
415,0.26393225504038725,0,14,0.35727178942193777,1,16,36,0,94,0,1,1,1,Mumbai,415
415,0.026753440928014096,0,0,0.29649848760733805,0,15,5,0,94,1,1,1,1,Mumbai,415
415,0.05123344940392207,0,9,0.06535227767432476,0,10,21.5,0,94,0,1,1,1,Mumbai,415
415,0.8150595147623292,1,20,1.8223176744571294,3,26,83,0,94,0,1,1,1,Mumbai,415
415,-0.00980764169644881,0,3,0.02072267688210639,0,8,2,0,94,1,1,1,1,Mumbai,415
